date,price_usd,commodity_name,country,market,price_type,unit
2020-11-01,3.01,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2020-12-01,4.1,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-01-01,5.96,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-02-01,6.4,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-03-01,7.0,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-04-01,5.86,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-05-01,4.82,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-06-01,4.06,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-07-01,4.63,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-08-01,3.54,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-09-01,2.84,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-10-01,2.94,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-11-01,2.83,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2021-12-01,5.23,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-01-01,5.25,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-02-01,4.24,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-03-01,4.91,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-04-01,4.12,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-05-01,3.87,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-06-01,6.0,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-07-01,6.68,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-08-01,5.26,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-09-01,4.75,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-10-01,4.02,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-11-01,3.3,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2022-12-01,3.83,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-01-01,4.07,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-02-01,3.92,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-03-01,4.25,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-04-01,3.47,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-05-01,3.17,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-06-01,3.24,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-07-01,3.13,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-08-01,3.2,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-09-01,2.86,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-10-01,3.37,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-11-01,4.84,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2023-12-01,4.65,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-01-01,3.38,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-02-01,3.18,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-03-01,3.37,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-04-01,2.84,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-05-01,2.61,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-06-01,2.8,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-07-01,3.32,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-08-01,3.74,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-09-01,2.93,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-10-01,2.66,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-11-01,2.3,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2024-12-01,2.67,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-01-01,4.38,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-02-01,4.16,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-03-01,4.65,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-04-01,3.67,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-05-01,2.53,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-06-01,2.93,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-07-01,3.33,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-08-01,2.66,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
2025-09-01,2.55,Chili (bird's eye),Indonesia,National Average,RETAIL,Kg
