date,price_usd,commodity_name,country,market,price_type,unit
2020-08-01,0.84,Groundnuts,Senegal,National Average,RETAIL,Kg
2020-09-01,0.93,Groundnuts,Senegal,National Average,RETAIL,Kg
2020-10-01,0.78,Groundnuts,Senegal,National Average,RETAIL,Kg
2020-11-01,0.64,Groundnuts,Senegal,National Average,RETAIL,Kg
2020-12-01,0.56,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-01-01,0.59,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-02-01,0.63,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-03-01,0.67,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-04-01,0.66,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-05-01,0.7,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-06-01,0.6,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-07-01,0.59,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-08-01,0.64,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-09-01,0.82,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-10-01,0.86,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-11-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2021-12-01,0.57,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-01-01,0.56,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-02-01,0.57,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-03-01,0.61,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-04-01,0.6,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-05-01,0.67,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-06-01,0.72,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-07-01,0.8,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-08-01,0.86,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-09-01,0.81,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-10-01,0.8,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-11-01,0.7,Groundnuts,Senegal,National Average,RETAIL,Kg
2022-12-01,0.74,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-01-01,0.77,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-02-01,0.81,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-03-01,0.83,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-04-01,0.87,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-05-01,0.92,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-06-01,0.92,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-07-01,0.88,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-08-01,0.94,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-09-01,0.97,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-10-01,0.81,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-11-01,0.74,Groundnuts,Senegal,National Average,RETAIL,Kg
2023-12-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-01-01,0.64,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-02-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-03-01,0.66,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-04-01,0.67,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-05-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-06-01,0.62,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-07-01,0.64,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-08-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-09-01,0.66,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-10-01,0.72,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-11-01,0.65,Groundnuts,Senegal,National Average,RETAIL,Kg
2024-12-01,0.58,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-01-01,0.53,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-02-01,0.58,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-03-01,0.59,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-04-01,0.69,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-05-01,,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-06-01,0.79,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-07-01,538.0,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-08-01,1.05,Groundnuts,Senegal,National Average,RETAIL,Kg
2025-09-01,0.98,Groundnuts,Senegal,National Average,RETAIL,Kg
