date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2006-10-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2006-11-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2006-12-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2007-01-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2007-02-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2007-03-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2007-04-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2007-05-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2007-06-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2007-07-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2007-08-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2007-09-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2007-10-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2007-11-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2007-12-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2008-01-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2008-02-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2008-03-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2008-04-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2008-05-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2008-06-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2008-07-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2008-08-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2008-09-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2008-10-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2008-11-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2008-12-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2009-01-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2009-02-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2009-03-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2009-04-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2009-05-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2009-06-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2009-07-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2009-08-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2009-09-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2009-10-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2009-11-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2009-12-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2010-01-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2010-02-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2010-03-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2010-04-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2010-05-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2010-06-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2010-07-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2010-08-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2010-09-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2010-10-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2010-11-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2010-12-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2011-01-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2011-02-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2011-03-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2011-04-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2011-05-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2011-06-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2011-07-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2011-08-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2011-09-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2011-10-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2011-11-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2011-12-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2012-01-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2012-02-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2012-03-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2012-04-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2012-05-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2012-06-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2012-07-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2012-08-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2012-09-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2012-10-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2012-11-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2012-12-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2013-01-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2013-02-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2013-03-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2013-04-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2013-05-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2013-06-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2013-07-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2013-08-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2013-09-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2013-10-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2013-11-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2013-12-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2014-01-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-02-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2014-03-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2014-04-01,0.36,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.36
2014-05-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-06-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-07-01,0.35,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.35
2014-08-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-09-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-10-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2014-11-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2014-12-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2015-01-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2015-02-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2015-03-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2015-04-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2015-05-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2015-06-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2015-07-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2015-08-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2015-09-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2015-10-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2015-11-01,0.24,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.24
2015-12-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2016-01-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2016-02-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2016-03-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2016-04-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2016-05-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2016-06-01,0.35,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.35
2016-07-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2016-08-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2016-09-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2016-10-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2016-11-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2016-12-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2017-01-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2017-02-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2017-03-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2017-04-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2017-05-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2017-06-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2017-07-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2017-08-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2017-09-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2017-10-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2017-11-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2017-12-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2018-01-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2018-02-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2018-03-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2018-04-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2018-05-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2018-06-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2018-07-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2018-08-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2018-09-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2018-10-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2018-11-01,0.35,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.35
2018-12-01,0.35,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.35
2019-01-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2019-02-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2019-03-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2019-04-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2019-05-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2019-06-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2019-07-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2019-08-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2019-09-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2019-10-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2019-11-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2019-12-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2020-01-01,0.26,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.26
2020-02-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2020-03-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2020-04-01,0.25,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.25
2020-05-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2020-06-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2020-07-01,0.27,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.27
2020-08-01,0.36,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.36
2020-09-01,,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,
2020-10-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2020-11-01,0.36,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.36
2020-12-01,0.37,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.37
2021-01-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2021-02-01,0.33,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.33
2021-03-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2021-04-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2021-05-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2021-06-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2021-07-01,0.36,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.36
2021-08-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2021-09-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2021-10-01,0.36,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.36
2021-11-01,0.38,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.38
2021-12-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2022-01-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2022-02-01,0.41,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.41
2022-03-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2022-04-01,0.31,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.31
2022-05-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2022-06-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2022-07-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2022-08-01,0.29,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.29
2022-09-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2022-10-01,0.28,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.28
2022-11-01,0.3,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.3
2022-12-01,0.32,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.32
2023-01-01,0.37,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.37
2023-02-01,0.35,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.35
2023-03-01,0.34,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.34
2023-04-01,0.5,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.5
2023-05-01,0.49,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.49
2023-06-01,0.5,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.5
2023-07-01,0.54,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.54
2023-08-01,0.6,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.6
2023-09-01,0.58,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.58
2023-10-01,0.55,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.55
2023-11-01,0.53,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.53
2023-12-01,0.55,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.55
2024-01-01,0.53,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.53
2024-02-01,0.52,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.52
2024-03-01,0.53,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.53
2024-04-01,0.51,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.51
2024-05-01,0.56,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.56
2024-06-01,0.58,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.58
2024-07-01,0.56,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.56
2024-08-01,0.51,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.51
2024-09-01,0.51,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.51
2024-10-01,0.56,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.56
2024-11-01,0.53,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.53
2024-12-01,0.51,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.51
2025-01-01,0.5,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.5
2025-02-01,0.54,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.54
2025-03-01,0.57,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.57
2025-04-01,0.58,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.58
2025-05-01,0.6,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.6
2025-06-01,0.57,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.57
2025-07-01,0.58,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.58
2025-08-01,0.57,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.57
2025-09-01,0.57,Cassava (root),Cameroon,Douala,RETAIL,Kg,kg,0.57
2005-01-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2005-02-01,0.18,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.18
2005-03-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2005-04-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2005-05-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2005-06-01,0.16,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.16
2005-07-01,0.16,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.16
2005-08-01,0.14,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.14
2005-09-01,0.14,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.14
2005-10-01,0.14,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.14
2005-11-01,0.14,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.14
2005-12-01,0.15,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.15
2006-01-01,0.15,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.15
2006-02-01,0.15,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.15
2006-03-01,0.15,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.15
2006-04-01,0.16,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.16
2006-05-01,0.16,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.16
2006-06-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2006-07-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2006-08-01,0.18,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.18
2006-09-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2006-10-01,0.17,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.17
2006-11-01,0.18,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.18
2006-12-01,0.19,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.19
2007-01-01,0.19,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.19
2007-02-01,0.19,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.19
2007-03-01,0.19,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.19
2007-04-01,0.2,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.2
2007-05-01,0.2,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.2
2007-06-01,0.21,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.21
2007-07-01,0.22,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.22
2007-08-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2007-09-01,0.24,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.24
2007-10-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2007-11-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2007-12-01,0.22,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.22
2008-01-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2008-02-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2008-03-01,0.24,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.24
2008-04-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2008-05-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2008-06-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2008-07-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2008-08-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2008-09-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2008-10-01,0.22,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.22
2008-11-01,0.2,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.2
2008-12-01,0.22,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.22
2009-01-01,0.23,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.23
2009-02-01,0.21,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.21
2009-03-01,0.21,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.21
2009-04-01,0.25,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.25
2009-05-01,0.26,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.26
2009-06-01,0.27,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.27
2009-07-01,0.22,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.22
2009-08-01,0.24,Cassava (root),Cameroon,Yaoundé,RETAIL,Kg,kg,0.24
