date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2000-01-01,0.94,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2000-02-01,0.95,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.95
2000-03-01,0.96,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.96
2000-04-01,0.94,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2000-05-01,0.92,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.92
2000-06-01,0.9,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.9
2000-07-01,0.93,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.93
2000-08-01,0.95,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.95
2000-09-01,0.94,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2000-10-01,0.92,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.92
2000-11-01,0.94,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2000-12-01,0.93,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.93
2001-01-01,0.91,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.91
2001-02-01,0.93,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.93
2001-03-01,0.94,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.94
2001-04-01,0.97,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.97
2001-05-01,0.98,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.98
2001-06-01,0.99,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.99
2001-07-01,0.98,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.98
2001-08-01,0.99,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.99
2001-09-01,0.96,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.96
2001-10-01,0.96,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.96
2001-11-01,0.98,Rice (Morelos),Mexico,Mexico City,WHOLESALE,Kg,kg,0.98
