date,price_usd,commodity_name,country,market,price_type,unit,unit_std,price_per_unit
2010-03-01,4.19,Tuna,Tonga,National Average,RETAIL,Kg,kg,4.19
2010-04-01,5.15,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.15
2010-05-01,5.08,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.08
2010-06-01,5.15,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.15
2010-07-01,7.25,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.25
2010-08-01,6.67,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.67
2010-09-01,6.28,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.28
2010-10-01,5.63,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.63
2010-11-01,5.45,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.45
2010-12-01,6.01,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.01
2011-01-01,5.49,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.49
2011-02-01,5.5,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.5
2011-03-01,4.91,Tuna,Tonga,National Average,RETAIL,Kg,kg,4.91
2011-04-01,5.54,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.54
2011-05-01,5.68,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.68
2011-06-01,5.56,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.56
2011-07-01,6.33,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.33
2011-08-01,8.33,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.33
2011-09-01,8.43,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.43
2011-10-01,6.47,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.47
2011-11-01,7.41,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.41
2011-12-01,7.56,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.56
2012-01-01,7.06,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.06
2012-02-01,7.19,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.19
2012-03-01,7.1,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.1
2012-04-01,7.02,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.02
2012-05-01,6.86,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.86
2012-06-01,7.39,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.39
2012-07-01,8.43,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.43
2012-08-01,8.14,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.14
2012-09-01,8.14,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.14
2012-10-01,8.14,Tuna,Tonga,National Average,RETAIL,Kg,kg,8.14
2012-11-01,7.37,Tuna,Tonga,National Average,RETAIL,Kg,kg,7.37
2012-12-01,6.98,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.98
2013-01-01,6.78,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.78
2013-02-01,6.54,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.54
2013-03-01,6.24,Tuna,Tonga,National Average,RETAIL,Kg,kg,6.24
2013-04-01,5.52,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.52
2013-05-01,5.74,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.74
2013-06-01,5.11,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.11
2013-07-01,5.84,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.84
2013-08-01,5.91,Tuna,Tonga,National Average,RETAIL,Kg,kg,5.91
