date,price_usd,commodity_name,country,market,price_type,unit
2021-01-01,0.79,Cassava,Angola,Bengo,RETAIL,Kg
2021-02-01,0.8,Cassava,Angola,Bengo,RETAIL,Kg
2021-03-01,0.88,Cassava,Angola,Bengo,RETAIL,Kg
2021-04-01,0.85,Cassava,Angola,Bengo,RETAIL,Kg
2021-05-01,0.87,Cassava,Angola,Bengo,RETAIL,Kg
2021-06-01,0.87,Cassava,Angola,Bengo,RETAIL,Kg
2021-07-01,0.88,Cassava,Angola,Bengo,RETAIL,Kg
2021-08-01,0.88,Cassava,Angola,Bengo,RETAIL,Kg
2021-09-01,0.96,Cassava,Angola,Bengo,RETAIL,Kg
2021-10-01,0.99,Cassava,Angola,Bengo,RETAIL,Kg
2021-11-01,1.01,Cassava,Angola,Bengo,RETAIL,Kg
2021-12-01,1.13,Cassava,Angola,Bengo,RETAIL,Kg
2022-01-01,1.2,Cassava,Angola,Bengo,RETAIL,Kg
2022-02-01,1.26,Cassava,Angola,Bengo,RETAIL,Kg
2022-03-01,1.43,Cassava,Angola,Bengo,RETAIL,Kg
2022-04-01,1.57,Cassava,Angola,Bengo,RETAIL,Kg
2022-05-01,1.68,Cassava,Angola,Bengo,RETAIL,Kg
2022-06-01,1.6,Cassava,Angola,Bengo,RETAIL,Kg
2022-07-01,1.6,Cassava,Angola,Bengo,RETAIL,Kg
2022-08-01,1.61,Cassava,Angola,Bengo,RETAIL,Kg
2022-09-01,1.6,Cassava,Angola,Bengo,RETAIL,Kg
2022-10-01,1.51,Cassava,Angola,Bengo,RETAIL,Kg
2022-11-01,1.36,Cassava,Angola,Bengo,RETAIL,Kg
2022-12-01,1.37,Cassava,Angola,Bengo,RETAIL,Kg
2023-01-01,1.36,Cassava,Angola,Bengo,RETAIL,Kg
2023-02-01,1.35,Cassava,Angola,Bengo,RETAIL,Kg
2023-03-01,1.35,Cassava,Angola,Bengo,RETAIL,Kg
2023-04-01,1.35,Cassava,Angola,Bengo,RETAIL,Kg
2023-05-01,1.28,Cassava,Angola,Bengo,RETAIL,Kg
2023-06-01,0.96,Cassava,Angola,Bengo,RETAIL,Kg
2023-07-01,0.84,Cassava,Angola,Bengo,RETAIL,Kg
2023-08-01,0.84,Cassava,Angola,Bengo,RETAIL,Kg
2023-09-01,0.84,Cassava,Angola,Bengo,RETAIL,Kg
2023-10-01,0.84,Cassava,Angola,Bengo,RETAIL,Kg
2023-11-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2023-12-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2024-01-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2024-02-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2024-03-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2024-04-01,0.83,Cassava,Angola,Bengo,RETAIL,Kg
2024-05-01,0.82,Cassava,Angola,Bengo,RETAIL,Kg
2024-06-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2024-07-01,0.8,Cassava,Angola,Bengo,RETAIL,Kg
2024-08-01,0.8,Cassava,Angola,Bengo,RETAIL,Kg
2024-09-01,0.77,Cassava,Angola,Bengo,RETAIL,Kg
2024-10-01,0.78,Cassava,Angola,Bengo,RETAIL,Kg
2024-11-01,0.78,Cassava,Angola,Bengo,RETAIL,Kg
2024-12-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-01-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-02-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-03-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-04-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-05-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-06-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-07-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2025-08-01,0.81,Cassava,Angola,Bengo,RETAIL,Kg
2021-01-01,0.65,Cassava,Angola,Benguela,RETAIL,Kg
2021-02-01,0.65,Cassava,Angola,Benguela,RETAIL,Kg
2021-03-01,0.68,Cassava,Angola,Benguela,RETAIL,Kg
2021-04-01,0.66,Cassava,Angola,Benguela,RETAIL,Kg
2021-05-01,0.66,Cassava,Angola,Benguela,RETAIL,Kg
2021-06-01,0.67,Cassava,Angola,Benguela,RETAIL,Kg
2021-07-01,0.67,Cassava,Angola,Benguela,RETAIL,Kg
2021-08-01,0.69,Cassava,Angola,Benguela,RETAIL,Kg
2021-09-01,0.72,Cassava,Angola,Benguela,RETAIL,Kg
2021-10-01,0.75,Cassava,Angola,Benguela,RETAIL,Kg
2021-11-01,0.76,Cassava,Angola,Benguela,RETAIL,Kg
2021-12-01,0.82,Cassava,Angola,Benguela,RETAIL,Kg
2022-01-01,0.9,Cassava,Angola,Benguela,RETAIL,Kg
2022-02-01,0.94,Cassava,Angola,Benguela,RETAIL,Kg
2022-03-01,1.05,Cassava,Angola,Benguela,RETAIL,Kg
2022-04-01,1.16,Cassava,Angola,Benguela,RETAIL,Kg
2022-05-01,1.23,Cassava,Angola,Benguela,RETAIL,Kg
2022-06-01,1.18,Cassava,Angola,Benguela,RETAIL,Kg
2022-07-01,1.18,Cassava,Angola,Benguela,RETAIL,Kg
2022-08-01,1.18,Cassava,Angola,Benguela,RETAIL,Kg
2022-09-01,1.18,Cassava,Angola,Benguela,RETAIL,Kg
2022-10-01,1.12,Cassava,Angola,Benguela,RETAIL,Kg
2022-11-01,1.01,Cassava,Angola,Benguela,RETAIL,Kg
2022-12-01,1.01,Cassava,Angola,Benguela,RETAIL,Kg
2023-01-01,1.01,Cassava,Angola,Benguela,RETAIL,Kg
2023-02-01,1.01,Cassava,Angola,Benguela,RETAIL,Kg
2023-03-01,1.01,Cassava,Angola,Benguela,RETAIL,Kg
2023-04-01,1.0,Cassava,Angola,Benguela,RETAIL,Kg
2023-05-01,0.95,Cassava,Angola,Benguela,RETAIL,Kg
2023-06-01,0.71,Cassava,Angola,Benguela,RETAIL,Kg
2023-07-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2023-08-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2023-09-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2023-10-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2023-11-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2023-12-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2024-01-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2024-02-01,0.64,Cassava,Angola,Benguela,RETAIL,Kg
2024-03-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2024-04-01,0.64,Cassava,Angola,Benguela,RETAIL,Kg
2024-05-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2024-06-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2024-07-01,0.61,Cassava,Angola,Benguela,RETAIL,Kg
2024-08-01,0.62,Cassava,Angola,Benguela,RETAIL,Kg
2024-09-01,0.59,Cassava,Angola,Benguela,RETAIL,Kg
2024-10-01,0.6,Cassava,Angola,Benguela,RETAIL,Kg
2024-11-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2024-12-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2025-01-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2025-02-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2025-03-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2025-04-01,0.63,Cassava,Angola,Benguela,RETAIL,Kg
2025-05-01,0.68,Cassava,Angola,Benguela,RETAIL,Kg
2025-06-01,0.7,Cassava,Angola,Benguela,RETAIL,Kg
2025-07-01,0.71,Cassava,Angola,Benguela,RETAIL,Kg
2025-08-01,0.75,Cassava,Angola,Benguela,RETAIL,Kg
2021-01-01,0.44,Cassava,Angola,Bié,RETAIL,Kg
2021-02-01,0.44,Cassava,Angola,Bié,RETAIL,Kg
2021-03-01,0.46,Cassava,Angola,Bié,RETAIL,Kg
2021-04-01,0.45,Cassava,Angola,Bié,RETAIL,Kg
2021-05-01,0.44,Cassava,Angola,Bié,RETAIL,Kg
2021-06-01,0.45,Cassava,Angola,Bié,RETAIL,Kg
2021-07-01,0.45,Cassava,Angola,Bié,RETAIL,Kg
2021-08-01,0.45,Cassava,Angola,Bié,RETAIL,Kg
2021-09-01,0.46,Cassava,Angola,Bié,RETAIL,Kg
2021-10-01,0.49,Cassava,Angola,Bié,RETAIL,Kg
2021-11-01,0.49,Cassava,Angola,Bié,RETAIL,Kg
2021-12-01,0.53,Cassava,Angola,Bié,RETAIL,Kg
2022-01-01,0.56,Cassava,Angola,Bié,RETAIL,Kg
2022-02-01,0.58,Cassava,Angola,Bié,RETAIL,Kg
2022-03-01,0.65,Cassava,Angola,Bié,RETAIL,Kg
2022-04-01,0.71,Cassava,Angola,Bié,RETAIL,Kg
2022-05-01,0.71,Cassava,Angola,Bié,RETAIL,Kg
2022-06-01,0.7,Cassava,Angola,Bié,RETAIL,Kg
2022-07-01,0.7,Cassava,Angola,Bié,RETAIL,Kg
2022-08-01,0.7,Cassava,Angola,Bié,RETAIL,Kg
2022-09-01,0.7,Cassava,Angola,Bié,RETAIL,Kg
2022-10-01,0.67,Cassava,Angola,Bié,RETAIL,Kg
2022-11-01,0.6,Cassava,Angola,Bié,RETAIL,Kg
2022-12-01,0.6,Cassava,Angola,Bié,RETAIL,Kg
2023-01-01,0.6,Cassava,Angola,Bié,RETAIL,Kg
2023-02-01,0.6,Cassava,Angola,Bié,RETAIL,Kg
2023-03-01,0.61,Cassava,Angola,Bié,RETAIL,Kg
2023-04-01,0.61,Cassava,Angola,Bié,RETAIL,Kg
2023-05-01,0.58,Cassava,Angola,Bié,RETAIL,Kg
2023-06-01,0.43,Cassava,Angola,Bié,RETAIL,Kg
2023-07-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2023-08-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2023-09-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2023-10-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2023-11-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2023-12-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2024-01-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2024-02-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2024-03-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2024-04-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2024-05-01,0.38,Cassava,Angola,Bié,RETAIL,Kg
2024-06-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2024-07-01,0.37,Cassava,Angola,Bié,RETAIL,Kg
2024-08-01,0.36,Cassava,Angola,Bié,RETAIL,Kg
2024-09-01,0.35,Cassava,Angola,Bié,RETAIL,Kg
2024-10-01,0.35,Cassava,Angola,Bié,RETAIL,Kg
2024-11-01,0.36,Cassava,Angola,Bié,RETAIL,Kg
2024-12-01,0.36,Cassava,Angola,Bié,RETAIL,Kg
2025-01-01,0.36,Cassava,Angola,Bié,RETAIL,Kg
2025-02-01,0.39,Cassava,Angola,Bié,RETAIL,Kg
2025-03-01,0.39,Cassava,Angola,Bié,RETAIL,Kg
2025-04-01,0.42,Cassava,Angola,Bié,RETAIL,Kg
2025-05-01,0.42,Cassava,Angola,Bié,RETAIL,Kg
2025-06-01,0.48,Cassava,Angola,Bié,RETAIL,Kg
2025-07-01,0.48,Cassava,Angola,Bié,RETAIL,Kg
2025-08-01,0.48,Cassava,Angola,Bié,RETAIL,Kg
2021-01-01,0.46,Cassava,Angola,Cabinda,RETAIL,Kg
2021-02-01,0.49,Cassava,Angola,Cabinda,RETAIL,Kg
2021-03-01,0.51,Cassava,Angola,Cabinda,RETAIL,Kg
2021-04-01,0.49,Cassava,Angola,Cabinda,RETAIL,Kg
2021-05-01,0.51,Cassava,Angola,Cabinda,RETAIL,Kg
2021-06-01,0.52,Cassava,Angola,Cabinda,RETAIL,Kg
2021-07-01,0.56,Cassava,Angola,Cabinda,RETAIL,Kg
2021-08-01,0.57,Cassava,Angola,Cabinda,RETAIL,Kg
2021-09-01,0.62,Cassava,Angola,Cabinda,RETAIL,Kg
2021-10-01,0.65,Cassava,Angola,Cabinda,RETAIL,Kg
2021-11-01,0.66,Cassava,Angola,Cabinda,RETAIL,Kg
2021-12-01,0.74,Cassava,Angola,Cabinda,RETAIL,Kg
2022-01-01,0.78,Cassava,Angola,Cabinda,RETAIL,Kg
2022-02-01,0.82,Cassava,Angola,Cabinda,RETAIL,Kg
2022-03-01,0.97,Cassava,Angola,Cabinda,RETAIL,Kg
2022-04-01,1.05,Cassava,Angola,Cabinda,RETAIL,Kg
2022-05-01,1.17,Cassava,Angola,Cabinda,RETAIL,Kg
2022-06-01,1.21,Cassava,Angola,Cabinda,RETAIL,Kg
2022-07-01,1.32,Cassava,Angola,Cabinda,RETAIL,Kg
2022-08-01,1.32,Cassava,Angola,Cabinda,RETAIL,Kg
2022-09-01,1.35,Cassava,Angola,Cabinda,RETAIL,Kg
2022-10-01,1.33,Cassava,Angola,Cabinda,RETAIL,Kg
2022-11-01,1.3,Cassava,Angola,Cabinda,RETAIL,Kg
2022-12-01,1.29,Cassava,Angola,Cabinda,RETAIL,Kg
2023-01-01,1.3,Cassava,Angola,Cabinda,RETAIL,Kg
2023-02-01,1.32,Cassava,Angola,Cabinda,RETAIL,Kg
2023-03-01,1.39,Cassava,Angola,Cabinda,RETAIL,Kg
2023-04-01,1.38,Cassava,Angola,Cabinda,RETAIL,Kg
2023-05-01,1.38,Cassava,Angola,Cabinda,RETAIL,Kg
2023-06-01,1.03,Cassava,Angola,Cabinda,RETAIL,Kg
2023-07-01,0.89,Cassava,Angola,Cabinda,RETAIL,Kg
2023-08-01,0.9,Cassava,Angola,Cabinda,RETAIL,Kg
2023-09-01,0.96,Cassava,Angola,Cabinda,RETAIL,Kg
2023-10-01,0.96,Cassava,Angola,Cabinda,RETAIL,Kg
2023-11-01,0.95,Cassava,Angola,Cabinda,RETAIL,Kg
2023-12-01,0.95,Cassava,Angola,Cabinda,RETAIL,Kg
2024-01-01,0.96,Cassava,Angola,Cabinda,RETAIL,Kg
2024-02-01,1.04,Cassava,Angola,Cabinda,RETAIL,Kg
2024-03-01,1.14,Cassava,Angola,Cabinda,RETAIL,Kg
2024-04-01,1.16,Cassava,Angola,Cabinda,RETAIL,Kg
2024-05-01,1.15,Cassava,Angola,Cabinda,RETAIL,Kg
2024-06-01,1.13,Cassava,Angola,Cabinda,RETAIL,Kg
2024-07-01,1.13,Cassava,Angola,Cabinda,RETAIL,Kg
2024-08-01,1.13,Cassava,Angola,Cabinda,RETAIL,Kg
2024-09-01,1.08,Cassava,Angola,Cabinda,RETAIL,Kg
2024-10-01,1.1,Cassava,Angola,Cabinda,RETAIL,Kg
2024-11-01,1.1,Cassava,Angola,Cabinda,RETAIL,Kg
2024-12-01,1.16,Cassava,Angola,Cabinda,RETAIL,Kg
2025-01-01,1.24,Cassava,Angola,Cabinda,RETAIL,Kg
2025-02-01,1.24,Cassava,Angola,Cabinda,RETAIL,Kg
2025-03-01,1.26,Cassava,Angola,Cabinda,RETAIL,Kg
2025-04-01,1.25,Cassava,Angola,Cabinda,RETAIL,Kg
2025-05-01,1.26,Cassava,Angola,Cabinda,RETAIL,Kg
2025-06-01,1.25,Cassava,Angola,Cabinda,RETAIL,Kg
2025-07-01,1.25,Cassava,Angola,Cabinda,RETAIL,Kg
2025-08-01,1.25,Cassava,Angola,Cabinda,RETAIL,Kg
2021-01-01,0.17,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-02-01,0.18,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-03-01,0.19,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-04-01,0.19,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-05-01,0.19,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-06-01,0.19,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-07-01,0.21,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-08-01,0.21,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-09-01,0.22,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-10-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-11-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-12-01,0.27,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-01-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-02-01,0.31,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-03-01,0.34,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-04-01,0.37,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-05-01,0.38,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-06-01,0.36,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-07-01,0.36,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-08-01,0.36,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-09-01,0.36,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-10-01,0.34,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-11-01,0.31,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2022-12-01,0.33,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-01-01,0.34,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-02-01,0.34,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-03-01,0.36,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-04-01,0.35,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-05-01,0.34,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-06-01,0.27,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-07-01,0.23,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-08-01,0.23,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-09-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-10-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-11-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2023-12-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-01-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-02-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-03-01,0.24,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-04-01,0.26,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-05-01,0.25,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-06-01,0.28,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-07-01,0.27,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-08-01,0.27,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-09-01,0.26,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-10-01,0.27,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-11-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2024-12-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-01-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-02-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-03-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-04-01,0.28,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-05-01,0.32,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-06-01,0.29,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-07-01,0.33,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2025-08-01,0.38,Cassava,Angola,Cuando Cubango,RETAIL,Kg
2021-01-01,0.63,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-02-01,0.64,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-03-01,0.7,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-04-01,0.71,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-05-01,0.7,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-06-01,0.72,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-07-01,0.72,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-08-01,0.73,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-09-01,0.75,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-10-01,0.78,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-11-01,0.82,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-12-01,0.86,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-01-01,0.94,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-02-01,1.01,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-03-01,1.17,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-04-01,1.3,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-05-01,1.33,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-06-01,1.28,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-07-01,1.29,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-08-01,1.29,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-09-01,1.29,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-10-01,1.23,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-11-01,1.1,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2022-12-01,1.11,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-01-01,1.12,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-02-01,1.12,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-03-01,1.15,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-04-01,1.14,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-05-01,1.11,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-06-01,0.82,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-07-01,0.72,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-08-01,0.74,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-09-01,0.77,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-10-01,0.77,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-11-01,0.77,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2023-12-01,0.77,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-01-01,0.81,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-02-01,0.81,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-03-01,0.85,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-04-01,0.85,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-05-01,0.84,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-06-01,0.86,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-07-01,0.85,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-08-01,0.83,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-09-01,0.87,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-10-01,0.91,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-11-01,0.96,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2024-12-01,1.01,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-01-01,1.04,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-02-01,1.04,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-03-01,1.13,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-04-01,1.14,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-05-01,1.14,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-06-01,1.15,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-07-01,1.15,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2025-08-01,1.15,Cassava,Angola,Cuanza Norte,RETAIL,Kg
2021-01-01,1.03,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-02-01,1.06,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-03-01,1.11,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-04-01,1.08,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-05-01,1.07,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-06-01,1.1,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-07-01,1.12,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-08-01,1.13,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-09-01,1.18,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-10-01,1.22,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-11-01,1.24,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2021-12-01,1.3,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-01-01,1.38,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-02-01,1.45,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-03-01,1.66,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-04-01,1.78,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-05-01,1.82,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-06-01,1.72,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-07-01,1.71,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-08-01,1.71,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-09-01,1.71,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-10-01,1.63,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-11-01,1.47,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2022-12-01,1.46,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-01-01,1.46,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-02-01,1.46,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-03-01,1.46,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-04-01,1.45,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-05-01,1.38,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-06-01,1.03,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-07-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-08-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-09-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-10-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-11-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2023-12-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-01-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-02-01,0.89,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-03-01,0.88,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-04-01,0.88,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-05-01,0.87,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-06-01,0.86,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-07-01,0.84,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-08-01,0.83,Cassava,Angola,Cuanza Sul,RETAIL,Kg
2024-09-01,0.79,Cassava,Angola,Cuanza Sul,RETAIL,Kg
