date,price_usd,commodity_name,country,market,price_type,unit
2008-12-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-01-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-02-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-03-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-04-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-05-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-06-01,0.94,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-07-01,0.96,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-08-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-09-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-10-01,1.06,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-11-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2009-12-01,1.06,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-01-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-02-01,1.09,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-03-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-04-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-05-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-06-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-07-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-08-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-09-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-10-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-11-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2010-12-01,0.87,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-01-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-02-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-03-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-04-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-05-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-06-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-07-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-08-01,1.09,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-09-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-10-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-11-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2011-12-01,1.19,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-01-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-02-01,1.21,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-03-01,1.2,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-04-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-05-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-06-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-07-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-08-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-09-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-10-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-11-01,1.15,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2012-12-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-01-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-02-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-03-01,1.15,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-04-01,1.15,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-05-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-06-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-07-01,1.09,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-08-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-09-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-10-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-11-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2013-12-01,1.05,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-01-01,1.06,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-02-01,0.95,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-03-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-04-01,1.06,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-05-01,1.05,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-06-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-07-01,1.04,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-08-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-09-01,1.2,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-10-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-11-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2014-12-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-01-01,1.19,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-02-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-03-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-04-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-05-01,0.98,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-06-01,0.99,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-07-01,1.04,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-08-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-09-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-10-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-11-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2015-12-01,1.2,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-01-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-02-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-03-01,0.96,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-04-01,0.92,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-05-01,0.92,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-06-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-07-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-08-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-09-01,0.99,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-10-01,1.0,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-11-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2016-12-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-01-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-02-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-03-01,0.95,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-04-01,0.99,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-05-01,0.89,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-06-01,0.95,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-07-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-08-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-09-01,1.2,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-10-01,0.95,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-11-01,0.93,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2017-12-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-01-01,1.0,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-02-01,1.0,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-03-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-04-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-05-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-06-01,1.1,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-07-01,1.08,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-08-01,1.07,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-09-01,0.88,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-10-01,0.92,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-11-01,0.94,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2018-12-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-01-01,1.02,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-02-01,1.03,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-03-01,1.13,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-04-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-05-01,1.02,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-06-01,0.95,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-07-01,0.97,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-08-01,0.98,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-09-01,0.97,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-10-01,0.94,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-11-01,0.93,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2019-12-01,0.99,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-01-01,1.09,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-02-01,0.99,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-03-01,0.9,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-04-01,0.84,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-05-01,0.69,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-06-01,0.91,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-07-01,1.05,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-08-01,0.85,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-09-01,0.87,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-10-01,1.01,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-11-01,1.12,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2020-12-01,1.11,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-01-01,1.17,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-02-01,1.15,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-03-01,1.14,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-04-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-05-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-06-01,1.19,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-07-01,1.22,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-08-01,1.32,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-09-01,1.32,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-10-01,1.29,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-11-01,1.28,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2021-12-01,1.24,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-01-01,1.26,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-02-01,1.26,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-03-01,1.39,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-04-01,1.4,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-05-01,1.42,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-06-01,1.5,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-07-01,1.47,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-08-01,1.4,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-09-01,1.36,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-10-01,1.31,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-11-01,1.3,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2022-12-01,1.36,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-01-01,1.42,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-02-01,1.4,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-03-01,1.39,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-04-01,1.38,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-05-01,1.35,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-06-01,1.38,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-07-01,1.37,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-08-01,1.49,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-09-01,1.44,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-10-01,1.36,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-11-01,1.26,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2023-12-01,1.33,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-01-01,1.32,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-02-01,1.32,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-03-01,1.29,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-04-01,1.27,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-05-01,1.15,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-06-01,1.22,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-07-01,1.37,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-08-01,1.39,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-09-01,1.38,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-10-01,1.24,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-11-01,1.16,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2024-12-01,1.24,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-01-01,1.27,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-02-01,1.26,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-03-01,1.18,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-04-01,1.19,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-05-01,1.25,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-06-01,1.3,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-07-01,1.29,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-08-01,1.38,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-09-01,1.3,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
2025-10-01,1.24,Chicken (processed),Dominican Republic,Santo Domingo,RETAIL,Libra
